Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Air Handler Unit,"A device used to regulate and circulate air as part of a heating, ventilating, and air-conditioning (HVAC) system (from Wikipedia)",,,AHU,Equipment,O,X,Joern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Variable Air Volume,"A type of heating, ventilating, and/or air-conditioning (HVAC) system. VAV systems vary the airflow at a constant temperature. (from Wikipedia)",,,VAV,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Reheat Coil,A coil which is heated to control the temperature of air being furnished to individual zones.,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Variable Frequency Drive,System that controls chilled water used to cool a building's air and equipment,,,VFD,Equipment,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Chilled Water System,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Heat Exchanger,,,,HX,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Computer Room Air Conditioning,,,,CRAC,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Fan Coil Unit,,,,FCU,Equipment,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Space Heater,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Fire Control Panel,,,,FCP,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,Average Cooling Demand,Average of cooling demand across thermal zones. This could be for one AHU or one floor or entire building,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,Average Supply Air Flow,"Average of supply air to thermal zones. Granurality: AHU, floor, building",,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,Average Zone Temperature,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,Lowest Zone Temperature,,Coldest Zone Temperature,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
