Domain,Tag,Definition,Related Terminologies,hasSynonym,Author,Reviewed,Review Count,Comments,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Time,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Voltage,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Power,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Current,Alternating Current - usually used for power measurements,,,Bharath,,,"(Is this electric current?, Jason)",,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Energy,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,DC,Direct Current - usually used for digital control,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Temperature,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Fahrenheit,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Flow,Fluidic stream,Discharge Air Flow Sensor,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Pressure,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,CFM,Cubic feet per minute,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Humidity,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,enthalpy,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Smoke,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Unit,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Domestic,,Domestic Hot Water Control Valve,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Liquid,,Liquid Detected Alarm,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Angle,,Solar Zenith Angle,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Zenith,,Solar Zenith Angle,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Properties Subdomain,Azimuth,,Solar Azimuth Angle,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Point,Sensor or actuator,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Setpoint,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Sensor,,,,Jason,,,"(Snonym to Level?, Jason)",,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Command,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Request,,,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Fault,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Switch,Physical switch,"Light switch, Emergency Power Off Switch",,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Indicator,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Reset,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,PID,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Status,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Alarm,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Control,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,High,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Low,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Disable,,,off,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Enable,,,on,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Mode,Operation type,Maintenance mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Start,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Stop,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Max,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Min,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,System,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Ready,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Emergency,,Emergency Power Off System,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Tolerance,,Humidity Tolerance,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Delay,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Input,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Output,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Leak,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Standby,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Conditioning,,Air Conditioning,,Jason,,,"(Jason, Not sure it is necessary, but used in labels.)",,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Overload,,Fan Overload,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Detected,,Smoke Detected Alarm,,Jason,,,"(Jason, Not sure it is necessary, but used in labels. Maybe redundant with Alarm.)",,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Communication,,Communication Status of System,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Loss,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Suction,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Relative,,Relative Humidity,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Estimation,For a (maybe virtual) point where values are not measured but estimated.,,Calculation,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,Capacity,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Management Subdomain,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Variable,,Variable Air Volume Box,,Jason,,,,#BEZUG!,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Air,,Variable Air Volume Box,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Volume,,Variable Air Volume Box,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Box,,Variable Air Volume Box,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Reheat,,Reheat Valve,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Discharge,,Discharge Air Flow Sensor,Supply,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Damper,,Damper Position,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Position,,Damper Position,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Booster,,Booster Fan,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Fan,,Booster Fan,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,CO2,,CO2 Sensor,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Thermostat,,thermostat,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Adjustment,,Delta temperature setpoint (usually from thermostat),,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupancy,,,,Jsaon,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Static,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied,Indicates something is occupied.,,,Jsaon,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Unoccupied,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Heater,,Space Heater,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heating,,heating coil,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Cooling,,cooling coil,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Coil,,heating/cooing coil,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Hot,,hot water vavle,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Steam,,steam water valve,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Exhaust,,Exhaust Fan,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return,,Return Air Temperature,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed,,Mixed Air Temperature,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Chilled,,Chilled Water Vavle,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Water,,Chilled Water Vavle,,Jingkun,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside,,Outside Air Temperature,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Bypass,,Bypass Damper,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Dehumidification,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Humidification,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Condensate,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Frequency,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Drive,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Speed,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Torque,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Acceleration,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Deceleration,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Limit,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Enable,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Manual,,Synonym: Hand,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Auto,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Direction,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Maintenance,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Required,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Filter,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Panel,,TagSet: Panel Lockout,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Lockout,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Output,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Economizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Reference,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Motor,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Rated,,TagSet: Rated Speed,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Dead,,Dead Band,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Band,,Dead Band,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Hot,,Hot Water Pump,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Medium,,Medium Temperature Water,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Chilled,,Chilled Water Pump,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Water,,"Chilled Water Pump, Hot Water Pump",,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Pump,,"Chilled Water Pump, Hot Water Pump",,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Heat,,Heat Exchanger,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Exchanger,,Heat Exchanger,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Valve,,Heat Exchanger Valve Command,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Stream,,"Steam Pressure Sensor, Stream Flow Sensor",,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Differential,,Chilled Water Differential Pressure Setpoint,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Water System Subdomain,Freeze,,Freeze Status,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Misc.,Head,Head on a gas tube,High Head Pressure Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Misc.,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC Misc.,Humidifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Domain,Zone,,Zone temperature,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Domain,Room,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Domain,Floor,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Domain,Building,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Domain,Space,,Space Heater,,Jason,,,"(Zone, Room, space, these are confusing. Any suggestion?, Jason)",,,,,,,,,,,,,,,,,,,,,,,,
Power Domain,Load,,Eletrical load,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Domain,Bus,"A metallic strip or bar (typically copper, brass or aluminium) that conducts electricity. Or bus bar.",,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Domain,Battery,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Domain,Solar,,Solar panel,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Domain,PV,,Abbreviation of Photovoltaic,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather Domain,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather Domain,Luminance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
