token,bs,instance?
rm,Room,1
actclgsp,Zone_Temperature_Effective_Cooling_Setpoint,0
acthtgsp,Zone_Temperature_Effective_Heating_Setpoint,0
clgpid-o,Cooling_Command,0
htgpid-o,Heating_Command,0
dpr-c,Damper_Command,0
fac-c,Fan_Command,0
clgmaxflo,Cooling_Max_Discharge_Air_Flow,0
clgminflo,Occupied_Cooling_Min_Discharge_Air_Flow,0
occ-cmd,Occupied_Command,0
rh-vlv,Reheat_Valve,0
sup-flow,Discharge_Air_Flow_Sensor,0
supflo-sp,Discharge_Air_Flow_Setpoint,0
commonsp,Zone_Temperature_Setpoint,0
w-c-adj,Temperature_Adjustment,0
zn-t,Zone_Temperature_Setpoint,0
ebu3b,Building,1
vma,Variable_Air_Volume_Box,1
