bas_raw,haystack
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/% Capacity","equip chiller coolingCapacity"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Fan Run Hours","fan vfd equip run cmd"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidifier Run Hours","humidifier run cmd"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidity","humidity sensor"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Temperature","temp sensor"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Start","fan cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Status","fan curstatus"
"CMU/SCSC Gates/Eighth Floor/FCU-15/FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Eighth Floor/FCU-15/FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/FCU-15/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/FCU-15/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/HWV Command","vav hot water valve cmd"
