Note,Contains haystack tags and custom tags
EBU3B.RM-1100A..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1100A..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1100A..CLGPID-O,zone cooling cmd
EBU3B.RM-1100A..DPR-C,discharge air damper cmd
EBU3B.RM-1100A..DMPR-POS,discharge air damper sensor
EBU3B.RM-1100A..FAN-C,discharge air fan cmd
EBU3B.RM-1100A..HTGPID-O,zone heating cmd
EBU3B.RM-1100A..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1100A..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1100A..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1100A..OCC-CMD,zone occupied cmd
EBU3B.RM-1100A..RH-VLV,reheat valve cmd
EBU3B.RM-1100A..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1100A..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1100A..COMMONSP,zone air temp sp
EBU3B.RM-1100A..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1100A..ZN-T,zone air temp sensor
EBU3B.RM-1100D..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1100D..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1100D..CLGPID-O,zone cooling cmd
EBU3B.RM-1100D..DPR-C,discharge air damper cmd
EBU3B.RM-1100D..DMPR-POS,discharge air damper sensor
EBU3B.RM-1100D..HTGPID-O,zone heating cmd
EBU3B.RM-1100D..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1100D..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1100D..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1100D..OCC-CMD,zone occupied cmd
EBU3B.RM-1100D..RH-VLV,reheat valve cmd
EBU3B.RM-1100D..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1100D..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1100D..COMMONSP,zone air temp sp
EBU3B.RM-1100D..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1100D..ZN-T,zone air temp sensor
EBU3B.RM-1102..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1102..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1102..CLGPID-O,zone cooling cmd
EBU3B.RM-1102..DPR-C,discharge air damper cmd
EBU3B.RM-1102..DMPR-POS,discharge air damper sensor
EBU3B.RM-1102..HTGPID-O,zone heating cmd
EBU3B.RM-1102..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1102..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1102..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1102..OCC-CMD,zone occupied cmd
EBU3B.RM-1102..RH-VLV,reheat valve cmd
EBU3B.RM-1102..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1102..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1102..COMMONSP,zone air temp sp
EBU3B.RM-1102..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1102..ZN-T,zone air temp sensor
EBU3B.RM-1104..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1104..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1104..CLGPID-O,zone cooling cmd
EBU3B.RM-1104..DPR-C,discharge air damper cmd
EBU3B.RM-1104..DMPR-POS,discharge air damper sensor
EBU3B.RM-1104..HTGPID-O,zone heating cmd
EBU3B.RM-1104..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1104..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1104..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1104..OCC-CMD,zone occupied cmd
EBU3B.RM-1104..RH-VLV,reheat valve cmd
