Dimension,TagSet,hasSynonym,Definition,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion
Equipment,Fire Control Panel,FCP,,,FCP,,,Bharath,,,
Equipment>Exhaust,Exhaust Fan,,,,,,,Jason,,,
Equipment>HVAC,Space Heater,,,,,O,X,Jason,,,
Equipment>HVAC,Air Handler Unit,AHU,"A device used to regulate and circulate air as part of a heating, ventilating, and air-conditioning (HVAC) system (from Wikipedia)",,AHU,O,X,Joern,,,
Equipment>HVAC,Computer Room Air Conditioning,CRAC,,,CRAC,,,Bharath,,,
Equipment>HVAC,Terminal Unit,,,,,,,Bharath,,,
Equipment>HVAC,Heat Exchanger,HX,,,HX,,,Bharath,,,
Equipment>HVAC,Heating Coil,,A coil which used to heat supplied air. Can be in both AHU and terminal units,,,O,X,Bharath,,,
Equipment>HVAC,Variable Frequency Drive,VFD,System that controls chilled water used to cool a building's air and equipment,,VFD,O,X,Bharath,,,
Equipment>HVAC,Valve,,,,,,,Bharath,,,
Equipment>HVAC>AHU,Chilled Water Valve,,,,,,,Jason,,,
Equipment>HVAC>AHU,Discharge Air Fan,Supply Fan,,,,,,Jason,,,Supply Air Fan ? Flow?
Equipment>HVAC>AHU,Exhaust Air Damper,,,,,,,Josh,,,
Equipment>HVAC>AHU,Heat Wheel VFD,,Motor for Heat Wheel,,,,,Josh,,,
Equipment>HVAC>AHU,Mixed Air Filter,,,,,,,Jason,,,
Equipment>HVAC>AHU,Preheat Hot Water Valve,,,,,,,Jason,,,
Equipment>HVAC>AHU,Preheat Valve VFD,,Motor for Preheat Valve,,,,,Josh,,,
Equipment>HVAC>AHU,Return Fan,,,,,,,Bharath,,,
Equipment>HVAC>CRAC,Emergency Power Off System,,,,,,,Bharath,,,
Equipment>HVAC>CWS,Chilled Water Pump,,,,,O,X,Jason,,,
Equipment>HVAC>CWS,Cooling Coil,,Equipment to cool air using cold water,,,O,X,Jason,,,
Equipment>HVAC>CWS,Cooling Tower,,,,,O,X,Jason,,,
Equipment>HVAC>CWS,Cooling Tower Fan,,,,,O,X,Jason,,,
Equipment>HVAC>HWS,Heat Exchanger Pump,,,,,,,,,,
Equipment>HVAC>HWS,Hot Water Pump,,,,,,,Jason,,,
Equipment>HVAC>Terminal Unit,Fan Coil Unit,FCU,,,FCU,,,Josh,,,
Equipment>HVAC>Terminal Unit,Variable Air Volume,VAV,"A type of heating, ventilating, and/or air-conditioning (HVAC) system. VAV systems vary the airflow at a constant temperature. (from Wikipedia)",,VAV,O,X,Jason,,,
Equipment>HVAC>Valve,Heating Valve,,,,,,,Bharath,,,
Equipment>HVAC>Valve,Cooling Valve,,,,,,,Bharath,,,
Equipment>HVAC>VAV,Booster Fan,,,,,O,X,Jason,,,
Equipment>Laboratory,Cold Box,,A room maintained at cold temperature for storing specimens and chemicals,,,,,Bharath,,,
Equipment>Laboratory,Environment Box,,Special temperature room for labs,,,,,Bharath,,,
Equipment>Laboratory,Freezer,,Freezer rooms,,,,,Bharath,,,
Equipment>Laboratory,Hot Box,,Room maintained at high temperature for labs,,,,,Bharath,,,
Equipment>Water,Chilled Water System,CWS,,,,O,X,Jason,,,
Equipment>Water,Hot Water System,HWS,,,,,,,,,
Equipment>Water,Domestic Hot Water System,DHWS,,,,,,,,,
Location,Building,,,,,,,,,,
Location,Floor,,,,,,,,,,
Location,HVAC Zone,,,,,,,,,,
Location,Room,,,,,,,,,,"(A TagSet with single Tag, Jason)"
Location,Laboratory,,,,,,,,,,
MeasurementProperty>Energy>Solar,Battery Voltage,,,,,,,Bharath,,,
MeasurementProperty>Energy>Solar,Photovoltaic Current Output,"PV System Output, PV Current Output",,,,,,Bharath,,,
MeasurementProperty>Energy>Solar,Solar Azimuth Angle,,,,,,,Bharath,,,
MeasurementProperty>Energy>Solar,Solar Zenith Angle,,,,,,,Bharath,,,
MeasurementProperty>HVAC>AHU,Discharge Air Temperature,Supply Air Temperature,,,,,,Jason,,,Supply Air Temperature
