Label,TagSet,AssetType,Asset,AssetParent,City,Building,Wing,Floor,Room,Zone
1F_MID_OPENOFF_CO2,Zone_Air_CO2_Sensor,NA,NA,,Dublin,B3,SOR42,FirstFloor,OpenOffice,Middle
1F_NRTH_OPENOFF_CO2,Zone_Air_CO2_Sensor,NA,NA,,Dublin,B3,SOR42,FirstFloor,OpenOffice,North
1F_STH_OPENOFF_CO2,Zone_Air_CO2_Sensor,NA,NA,,Dublin,B3,SOR42,FirstFloor,OpenOffice,South
421_U10_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_FCU_FAULT,FCU_Fault_Sensor,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U10_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U10,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,NA
421_U11_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_FCU_FAULT,FCU_Fault_Sensor,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U11_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U11,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U11,NA
421_U12_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_FCU_FAULT,FCU_Fault_Sensor,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U12_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U12,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U12,NA
421_U13_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_FCU_FAULT,FCU_Fault_Sensor,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U13_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U13,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U13,NA
421_U14_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_FCU_FAULT,FCU_Fault_Sensor,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U14_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U14,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U14,NA
421_U15_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_FCU_FAULT,FCU_Fault_Sensor,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
