"tag","ANY1","ANY2","CMU GHC","HAY","IBM","SDU","UCB SDH","UCB SODA","UCSD","UVA","TOTAL"
"",0,0,0,0,0,0,15,0,0,0,15
"acceleration",0,0,0,0,0,0,0,0,2,0,2
"accumulated",0,12,0,0,16,0,4,0,0,0,32
"accumulation",0,0,0,0,0,1,0,0,0,0,1
"activated",0,0,0,0,0,0,0,0,2,0,2
"actual",7,0,0,0,0,0,0,0,484,0,491
"adjust",7,0,0,0,0,0,0,0,238,0,245
"ahu",2,87,603,30,364,0,1384,1354,0,0,3824
"ai",0,0,0,0,0,0,0,0,26,0,26
"air",136,122,3971,45,1013,54,840,343,19,258,6801
"airflow",1,0,0,0,0,0,0,0,1174,0,1175
"alarm",23,0,40,0,0,0,58,58,33,0,212
"angle",0,0,0,0,0,0,0,0,2,0,2
"ao",0,0,0,0,0,0,0,0,12,0,12
"are",0,0,0,0,0,0,0,0,3,0,3
"attic",4,0,0,0,0,0,0,0,0,0,4
"auto",0,0,0,0,0,0,0,0,2,0,2
"automatic",0,1,0,0,2,0,1,0,0,0,4
"available",1,0,0,0,0,0,0,0,0,0,1
"average",3,7,0,0,18,0,8,0,33,0,69
"avg",0,0,0,0,0,0,5,5,0,0,10
"azimuth",0,1,0,0,1,0,1,0,1,0,4
"band",0,0,0,0,0,0,0,0,2,0,2
"battery",0,0,0,0,0,0,0,0,3,0,3
"biomass",0,1,0,0,0,0,0,0,0,0,1
"bldg",7,0,0,0,0,0,0,0,0,0,7
"blind",0,1,0,0,6,0,6,0,0,0,13
"blowdown",0,1,0,0,0,0,0,0,0,0,1
"boiler",0,11,0,0,55,0,0,0,0,0,66
"booster",0,1,0,0,3,0,3,0,5,0,12
"box",4,0,0,0,0,0,0,0,2,0,6
"btu",1,0,0,0,0,0,0,0,0,0,1
"building",9,0,0,0,0,0,2062,44,0,0,2115
"bus",0,0,0,0,0,0,0,0,2,0,2
"by",0,0,0,0,0,0,0,0,2,0,2
"bypass",2,7,19,3,0,0,2,2,4,0,39
"calc.",1,0,0,0,0,0,0,0,0,0,1
"capacity",0,1,0,0,0,0,2,2,4,0,9
"cfm",3,0,0,0,0,0,0,0,0,0,3
"ch.",1,0,0,0,0,0,0,0,0,0,1
"change",0,0,0,0,0,0,0,0,4,0,4
"chilled",9,77,42,25,77,0,157,288,11,0,686
"chiller",0,45,8,31,30,0,33,33,0,0,180
"chillerpant",0,2,0,0,0,0,0,0,0,0,2
"chillerplant",0,14,0,14,0,0,0,0,0,0,28
"chw",6,0,0,0,0,0,0,0,0,0,6
"circualation",0,1,0,0,3,0,3,0,0,0,7
"clg",1,0,0,0,0,0,0,0,0,0,1
"co2",7,11,228,3,20,124,14,0,16,16,439
"coil",2,2,0,0,4,0,0,0,0,0,8
"cold",0,1,0,0,3,0,0,0,0,33,37
"comfort",0,0,0,0,0,114,0,0,0,0,114
"command",50,0,0,0,0,0,0,0,1258,0,1308
"common",9,0,0,0,0,0,0,0,0,0,9
"communications",0,0,0,0,0,0,0,0,4,0,4
"compressor",0,0,0,0,0,0,4,4,8,0,16
"computed",0,0,0,0,0,0,0,0,3,0,3
"condensate",0,1,0,0,0,0,0,0,1,0,2
"condensator",0,1,0,0,2,0,0,0,0,0,3
"condensed",0,17,0,0,0,0,0,0,0,0,17
"condenser",0,26,0,21,0,0,138,0,0,0,185
"condensor",0,0,0,0,0,0,0,280,0,0,280
"condition",0,1,0,0,0,0,0,0,0,0,1
"conditioned",0,1,0,0,2,0,0,0,0,0,3
"conditioner",0,0,0,0,0,0,22,22,0,0,44
"consumption",0,6,0,0,0,15,0,0,0,0,21
"contol",3,0,0,0,0,0,0,0,0,0,3
"control",36,1,0,0,1,0,1,8,13,0,60
"cooing",0,0,0,0,0,0,0,0,1,0,1
"cool",0,2,499,1,0,0,3,0,238,0,743
"cooler",7,0,0,0,0,0,0,0,0,0,7
"cooling",42,12,14,3,195,57,199,22,748,0,1292
"coolingcapacity",0,0,11,0,0,0,0,0,0,0,11
"coolingtower",0,12,0,9,1,0,10,0,0,0,32
"crac",0,0,0,0,0,0,0,0,5,0,5
"cur",0,0,26,0,0,0,0,0,0,0,26
"current",0,8,0,2,18,0,24,6,28,0,86
"curstatus",0,0,23,0,0,0,0,0,0,0,23
"curtailment",0,0,0,0,0,0,5,5,0,0,10
"cycle",0,0,0,0,0,0,0,0,4,0,4
"damper",12,14,518,5,54,0,8,8,472,0,1091
